ref_no,value,date,narration
NEFT-1001,4999.00,14-08-2026,RAZORPAY SETTLEMENT REF9001
NEFT-1002,1250.50,15-08-2026,RAZORPAY SETTLEMENT REF9002
NEFT-1003,8500.00,15-08-2026,CASHFREE SETTLEMENT REF9003
NEFT-1004,350.75,16-08-2026,RAZORPAY SETTLEMENT REF9004
NEFT-1005,2200.00,16-08-2026,RAZORPAY SETTLEMENT REF9005
NEFT-2001,5120.50,18-08-2026,RAZORPAY SETTLEMENT BATCH-4471
NEFT-3001,3400.00,19-08-2026,RAZORPAY SETTLEMENT REF9101
NEFT-4001,999.00,20-08-2026,RAZORPAY SETTLEMENT REF9102
NEFT-4002,1500.00,20-08-2026,RAZORPAY SETTLEMENT REF9103
NEFT-4003,750.00,20-08-2026,RAZORPAY SETTLEMENT REF9104
NEFT-5001,4998.98,21-08-2026,RAZORPAY SETTLEMENT REF9105
NEFT-6001,6000.00,21-08-2026,RAZORPAY SETTLEMENT REF9106
NEFT-6002,-600.00,21-08-2026,RAZORPAY REFUND REF9106
NEFT-7001,3000.00,29-08-2026,RAZORPAY SETTLEMENT REF9107 LATE POSTING
NEFT-8001,4500.00,23-08-2026,UNKNOWN CREDIT REF UNAVAILABLE
NEFT-9001,2750.00,24-08-2026,RAZORPAY SETTLEMENT REF9108
NEFT-9002,1899.00,24-08-2026,RAZORPAY SETTLEMENT REF9109
NEFT-9501,-5200.00,25-08-2026,RAZORPAY CHARGEBACK REF9110
NEFT-9601,999.00,25-08-2026,RAZORPAY SETTLEMENT REF9111
NEFT-9701,4650.00,26-08-2026,RAZORPAY SETTLEMENT REF9112
