payment_id,settlement_batch_id,amt,fee,curr,created_at,merchant,event_type,related_txn_id,state
pay_A001,BATCH-9001,4999.00,99.98,INR,2026-08-14 05:02:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_A002,BATCH-9002,1250.50,25.01,INR,2026-08-15 03:40:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_A003,BATCH-9003,8500.00,170.00,INR,2026-08-15 08:52:00 UTC,CASHFREE_MERCHANT_204,payment,,captured
pay_A004,BATCH-9004,350.75,7.02,INR,2026-08-16 05:35:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_A005,BATCH-9005,2200.00,44.00,INR,2026-08-16 11:10:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_B001,BATCH-4471,1200.00,24.00,INR,2026-08-18 03:30:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_B002,BATCH-4471,850.00,17.00,INR,2026-08-18 03:35:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_B003,BATCH-4471,2000.00,40.00,INR,2026-08-18 03:40:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_B004,BATCH-4471,500.00,10.00,INR,2026-08-18 03:45:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_B005,BATCH-4471,675.00,13.50,INR,2026-08-18 03:50:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_C001,BATCH-9101,3400.00,68.00,INR,2026-08-19 06:30:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_D001,BATCH-9102,999.00,19.98,INR,2026-08-20 04:30:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_D002,BATCH-9103,1500.00,30.00,INR,2026-08-20 06:15:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_D003,BATCH-9104,750.00,15.00,INR,2026-08-20 10:00:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_E001,BATCH-9105,4999.00,99.98,INR,2026-08-21 03:30:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_F001,BATCH-9106,6000.00,120.00,INR,2026-08-21 07:30:00 UTC,RZP_MERCHANT_881,payment,,captured
rfnd_F001,BATCH-9106,-600.00,0.00,INR,2026-08-21 09:15:00 UTC,RZP_MERCHANT_881,refund,pay_F001,processed
pay_G001,BATCH-9107,3000.00,60.00,INR,2026-08-22 02:30:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_H001,BATCH-9108,2750.00,55.00,INR,2026-08-24 04:15:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_H002,BATCH-9109,1899.00,37.98,INR,2026-08-24 08:35:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_I001,BATCH-9110,5200.00,104.00,INR,2026-08-25 04:30:00 UTC,RZP_MERCHANT_881,payment,,DISPUTE_OPENED
pay_J001,BATCH-9111,999.00,19.98,INR,2026-08-25 13:00:00 UTC,RZP_MERCHANT_881,payment,,captured
pay_K001,BATCH-9112,5000.00,350.00,INR,2026-08-26 03:30:00 UTC,RZP_MERCHANT_881,payment,,captured
