txn_id,amount,currency,ts,counterparty,notes
LDG-1001,4999.00,INR,2026-08-14T10:32:00+05:30,Razorpay,
LDG-1002,1250.50,INR,2026-08-15T09:10:00+05:30,Razorpay,
LDG-1003,8500.00,INR,2026-08-15T14:22:00+05:30,Cashfree,
LDG-1004,350.75,INR,2026-08-16T11:05:00+05:30,Razorpay,
LDG-1005,2200.00,INR,2026-08-16T16:40:00+05:30,Razorpay Pvt Ltd,
LDG-2001,1200.00,INR,2026-08-18T09:00:00+05:30,Razorpay,batch BATCH-4471 leg 1
LDG-2002,850.00,INR,2026-08-18T09:05:00+05:30,Razorpay,batch BATCH-4471 leg 2
LDG-2003,2000.00,INR,2026-08-18T09:10:00+05:30,Razorpay,batch BATCH-4471 leg 3
LDG-2004,500.00,INR,2026-08-18T09:15:00+05:30,Razorpay,batch BATCH-4471 leg 4
LDG-2005,675.00,INR,2026-08-18T09:20:00+05:30,Razorpay,batch BATCH-4471 leg 5
LDG-3001,3400.00,INR,2026-08-19T12:00:00+05:30,Razorpay,
LDG-3001,3400.00,INR,2026-08-19T12:00:00+05:30,Razorpay,manual re-entry
LDG-4001,999.00,,2026-08-20T10:00:00+05:30,Razorpay,
LDG-4002,1500.00,INR,2026-08-20,Razorpay,timestamp truncated to date only
LDG-4003,-750.00,INR,2026-08-20T15:30:00+05:30,Razorpay,negative amount - possible data entry error
LDG-5001,4999.00,INR,2026-08-21T09:00:00+05:30,Razorpay,
LDG-6001,6000.00,INR,2026-08-21T13:00:00+05:30,Razorpay,original sale
LDG-6001,5400.00,INR,2026-08-21T13:00:00+05:30,Razorpay,amount revised after partial refund of 600
LDG-7001,3000.00,INR,2026-08-22T08:00:00+05:30,Razorpay,
LDG-8001,1750.00,INR,2026-08-23T10:00:00+05:30,Razorpay,no PSP or bank record found
LDG-9001,2750.00,INR,2026-08-24T09:00:00+05:30,Razorpay,
LDG-9002,1899.00,INR,2026-08-24T14:00:00+05:30,Razorpay Technologies,
LDG-9501,5200.00,INR,2026-08-25T10:00:00+05:30,Razorpay,chargeback disputed by customer
LDG-9601,999.00,INR,2026-08-25T18:30:00+05:30,Razorpay,
LDG-9701,5000.00,INR,2026-08-26T09:00:00+05:30,Razorpay,
